acousticness,danceability,duration_s,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,popularity_over75
0.0014199999999999998,0.8420000000000001,135.976,0.483,0,0.887,4,0.11199999999999999,-17.448,0,0.106,135.042,0.57,0
0.884,0.831,142.08700000000002,0.191,0,0.963,9,0.109,-12.717,0,0.287,131.918,0.728,0
0.8079999999999999,0.653,154.9,0.26899999999999996,0,0.425,7,0.318,-13.898,1,0.0315,88.99700000000001,0.649,0
0.485,0.645,132.54,0.05,0,0.555,0,0.0807,-19.656,1,0.45799999999999996,89.01299999999998,0.6970000000000001,0
0.17800000000000002,0.636,164.328,0.608,0,0.836,4,0.0847,-11.99,0,0.0377,132.002,0.0696,0
0.992,0.534,191.983,0.00469,0,0.943,4,0.0741,-28.546999999999997,0,0.038,177.976,0.385,0
0.308,0.787,125.225,0.282,0,0.907,9,0.142,-16.046,1,0.314,135.019,0.966,0
0.00897,0.6759999999999999,161.936,0.297,0,0.56,9,0.11199999999999999,-13.767999999999999,0,0.0589,134.767,0.14300000000000002,0
0.99,0.59,117.16799999999999,0.00588,0,0.9109999999999999,4,0.0666,-24.72,0,0.0658,135.036,0.509,0
0.309,0.899,118.00399999999999,0.371,0,0.0017399999999999998,4,0.265,-14.943,0,0.483,135.1,0.895,0
