Country,Date,Song_Title,Artist,Streams,Rank
Global,2020-02-14,Falling,Trevor Daniel,"4,412,756",9
Global,2020-02-14,ROXANNE,Arizona Zervas,"4,107,549",10
Global,2020-02-15,Dance Monkey,Tones And I,"6,714,648",1
Global,2020-02-15,The Box,Roddy Ricch,"6,390,573",2
Global,2020-02-15,Blinding Lights,The Weeknd,"6,002,927",3
Global,2020-02-15,No Time To Die,Billie Eilish,"5,218,837",4
Global,2020-02-15,Intentions (feat. Quavo),Justin Bieber,"5,038,460",5
Global,2020-02-15,Don't Start Now,Dua Lipa,"4,852,415",6
Global,2020-02-15,Tusa,"KAROL G, Nicki Minaj","4,749,359",7
Global,2020-02-15,Yummy,Justin Bieber,"4,571,117",8
Global,2020-02-15,Falling,Trevor Daniel,"4,229,767",9
Global,2020-02-15,ROXANNE,Arizona Zervas,"4,053,589",10
Global,2020-02-16,Dance Monkey,Tones And I,"5,775,513",1
Global,2020-02-16,The Box,Roddy Ricch,"5,606,836",2
Global,2020-02-16,Blinding Lights,The Weeknd,"5,154,462",3
Global,2020-02-16,No Time To Die,Billie Eilish,"4,327,339",4
Global,2020-02-16,Intentions (feat. Quavo),Justin Bieber,"4,315,499",5
Global,2020-02-16,Don't Start Now,Dua Lipa,"4,192,267",6
Global,2020-02-16,Tusa,"KAROL G, Nicki Minaj","4,099,969",7
Global,2020-02-16,Yummy,Justin Bieber,"3,910,230",8
Global,2020-02-16,Falling,Trevor Daniel,"3,748,995",9
Global,2020-02-16,ROXANNE,Arizona Zervas,"3,606,845",10
Global,2020-02-17,Dance Monkey,Tones And I,"5,905,916",1
Global,2020-02-17,The Box,Roddy Ricch,"5,819,948",2
Global,2020-02-17,Blinding Lights,The Weeknd,"5,612,409",3
Global,2020-02-17,Intentions (feat. Quavo),Justin Bieber,"4,785,015",4
Global,2020-02-17,Don't Start Now,Dua Lipa,"4,508,406",5
Global,2020-02-17,No Time To Die,Billie Eilish,"4,443,522",6
Global,2020-02-17,Yummy,Justin Bieber,"4,088,952",7
Global,2020-02-17,Falling,Trevor Daniel,"3,898,543",8
Global,2020-02-17,Tusa,"KAROL G, Nicki Minaj","3,884,146",9
Global,2020-02-17,ROXANNE,Arizona Zervas,"3,696,326",10
Global,2020-02-18,Dance Monkey,Tones And I,"5,943,521",1
Global,2020-02-18,The Box,Roddy Ricch,"5,763,703",2
