name,artist,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,artists+name
"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 2",'Armin van Buuren',2020,0.00499,0.397,36.5,0.638,0,0.0,2,0.364,-7.256,1,30,0.17600000000000002,134.284,0.677,"'Armin van Buuren'A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 2"
"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1",'Armin van Buuren',2020,0.0236,0.542,33.8,0.794,0,0.0,7,0.14800000000000002,-6.4129999999999985,1,30,0.303,143.377,0.81,"'Armin van Buuren'A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1"
A State Of Trance (ASOT 996) - A State Of Trance Tune Of The Year 2020,'Armin van Buuren',2020,0.0964,0.645,32.0,0.852,0,0.0,11,0.278,-7.289,0,30,0.374,137.985,0.737,'Armin van Buuren'A State Of Trance (ASOT 996) - A State Of Trance Tune Of The Year 2020
"A State Of Trance (ASOT 995) - Tune Of The Year 2020 Special Episode, Pt. 1",'Armin van Buuren',2020,0.0582,0.583,31.54,0.879,0,0.0,6,0.3,-7.717,0,30,0.325,130.629,0.615,"'Armin van Buuren'A State Of Trance (ASOT 995) - Tune Of The Year 2020 Special Episode, Pt. 1"
"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",'Armin van Buuren',2020,0.282,0.675,33.08,0.7190000000000001,0,0.0,1,0.609,-6.893,1,30,0.334,130.582,0.815,"'Armin van Buuren'A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1"
"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",'Armin van Buuren',2020,0.00104,0.364,33.58,0.875,0,0.0,6,0.0802,-6.375,0,30,0.0909,132.955,0.6659999999999999,"'Armin van Buuren'A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2"
"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",'Armin van Buuren',2020,0.153,0.597,32.25,0.7859999999999999,0,0.0,1,0.384,-7.28,1,30,0.354,83.68299999999998,0.599,"'Armin van Buuren'A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3"
"A State Of Trance (ASOT 993) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",'Armin van Buuren',2020,0.00644,0.452,33.83,0.738,0,0.0,1,0.375,-6.7360000000000015,1,27,0.193,115.737,0.7609999999999999,"'Armin van Buuren'A State Of Trance (ASOT 993) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1"
"A State Of Trance (ASOT 993) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",'Armin van Buuren',2020,0.00614,0.574,31.83,0.731,0,0.0,7,0.483,-6.6160000000000005,1,27,0.121,135.92600000000002,0.8740000000000001,"'Armin van Buuren'A State Of Trance (ASOT 993) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2"
"A State Of Trance (ASOT 995) - Tune Of The Year 2020 Special Episode, Pt. 2",'Armin van Buuren',2020,0.0597,0.696,40.57,0.727,0,0.0,11,0.316,-8.107000000000001,1,29,0.235,109.916,0.8220000000000001,"'Armin van Buuren'A State Of Trance (ASOT 995) - Tune Of The Year 2020 Special Episode, Pt. 2"
"A State Of Trance (ASOT 992) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",'Armin van Buuren',2020,0.000487,0.358,32.31,0.8640000000000001,0,2.67e-05,0,0.322,-6.728,1,26,0.362,138.467,0.7859999999999999,"'Armin van Buuren'A State Of Trance (ASOT 992) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2"
"A State Of Trance (ASOT 992) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",'Armin van Buuren',2020,0.0129,0.595,33.04,0.589,0,0.0,7,0.401,-7.49,1,26,0.324,86.37299999999998,0.934,"'Armin van Buuren'A State Of Trance (ASOT 992) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1"
"A State Of Trance (ASOT 992) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",'Armin van Buuren',2020,0.0026100000000000003,0.398,35.57,0.888,0,0.0,6,0.399,-6.211,0,25,0.363,136.148,0.378,"'Armin van Buuren'A State Of Trance (ASOT 992) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3"
"A State Of Trance (ASOT 991) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",'Armin van Buuren',2020,0.000251,0.4320000000000001,32.67,0.93,0,0.000348,6,0.394,-7.056,0,25,0.161,132.928,0.6829999999999999,"'Armin van Buuren'A State Of Trance (ASOT 991) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2"
"A State Of Trance (ASOT 991) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",'Armin van Buuren',2020,0.0224,0.593,32.08,0.483,0,0.0,5,0.723,-7.417000000000002,0,25,0.202,130.539,0.8140000000000001,"'Armin van Buuren'A State Of Trance (ASOT 991) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1"
"A State Of Trance (ASOT 991) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",'Armin van Buuren',2020,0.434,0.727,38.33,0.767,0,0.0,0,0.532,-7.291,1,24,0.536,127.471,0.969,"'Armin van Buuren'A State Of Trance (ASOT 991) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3"
Happy New Year 2012,'Jantika',2020,0.00231,0.75,360.0,0.564,0,0.92,5,0.0812,-5.902,1,11,0.0518,128.013,0.253,'Jantika'Happy New Year 2012
Happy New Year 2012 - Instrumental Mix,'Jantika',2020,0.00269,0.7,360.779,0.525,0,0.954,5,0.0904,-6.83,1,11,0.0436,127.998,0.302,'Jantika'Happy New Year 2012 - Instrumental Mix
The Epoch of Trance,'Alexander Borisov',2020,0.0205,0.599,472.955,0.8079999999999999,0,0.0889,7,0.181,-9.849,0,16,0.0623,135.994,0.102,'Alexander Borisov'The Epoch of Trance
Enigma - Extended Mix,'Sergey Rubin',2020,0.0373,0.579,321.245,0.925,0,0.848,0,0.7659999999999999,-6.104,0,14,0.0352,138.006,0.141,'Sergey Rubin'Enigma - Extended Mix
"Clock, Time of Live!",'2Loop',2020,0.00743,0.58,384.0,0.892,0,0.611,2,0.0468,-7.598,0,14,0.0853,134.966,0.718,"'2Loop'Clock, Time of Live!"
Void,'Jenka',2020,0.000343,0.609,232.534,0.97,0,0.883,8,0.28600000000000003,-2.309,1,14,0.0813,127.953,0.264,'Jenka'Void
Capacitor,'Vassage',2020,0.000254,0.685,334.796,0.7240000000000001,0,0.892,0,0.328,-7.277,0,14,0.078,132.035,0.446,'Vassage'Capacitor
On The Board,'2Loop',2020,0.000109,0.632,380.0,0.7659999999999999,0,0.889,5,0.108,-12.017,1,13,0.0645,134.99,0.397,'2Loop'On The Board
The First Step,'A-mase',2020,9.07e-05,0.575,458.182,0.963,0,0.342,11,0.381,-3.624,0,13,0.0463,132.019,0.534,'A-mase'The First Step
Fight For Your Dreams - Extended Mix,'Bertello Mucho',2020,0.0006,0.65,348.923,0.956,0,0.636,10,0.0496,-4.575,0,13,0.0458,129.994,0.12,'Bertello Mucho'Fight For Your Dreams - Extended Mix
Cult,'FLRK!',2020,0.00164,0.737,381.993,0.917,0,0.858,7,0.782,-7.112,0,12,0.0675,133.00799999999998,0.812,'FLRK!'Cult
Listen,'Airum',2020,0.000191,0.613,438.481,0.8009999999999999,0,0.0488,1,0.133,-7.7,0,12,0.0457,129.997,0.156,'Airum'Listen
"Menjemput Impian - Live at Jakarta Convention Center, Plenary Hall, Senayan, 2013",'Kla Project',2020,0.139,0.342,303.36,0.511,0,0.0,11,0.27,-8.342,1,35,0.0402,124.421,0.136,"'Kla Project'Menjemput Impian - Live at Jakarta Convention Center, Plenary Hall, Senayan, 2013"
Raindrops - Misha Sinal Remix,'Eskova',2020,0.000666,0.662,445.724,0.939,0,0.889,8,0.0927,-4.681,0,11,0.0806,132.999,0.5429999999999999,'Eskova'Raindrops - Misha Sinal Remix
Spring Breathing,'A-mase',2020,0.00471,0.585,420.0,0.921,0,0.927,6,0.0911,-7.209,0,11,0.0462,127.992,0.435,'A-mase'Spring Breathing
2014: Year of Lady Gorilla,'Scuttlebuggs',2020,0.6,0.358,293.0,0.198,0,0.46,9,0.149,-13.536,1,7,0.0286,87.97,0.206,'Scuttlebuggs'2014: Year of Lady Gorilla
